"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
Conspiracy Entertainment;14.0;14.0;14.0;14.0
Avalon Interactive;6.0;6.0;6.0;6.0
Hect;3.0;3.0;3.0;3.0
Pow;1.0;1.0;1.0;1.0
Natsume;17.0;17.0;17.0;17.0
Rebellion Developments;2.0;2.0;2.0;2.0
NetRevo;2.0;2.0;2.0;2.0
CPG Products;1.0;1.0;1.0;1.0
Interchannel;4.0;4.0;4.0;4.0
Otomate;1.0;1.0;1.0;1.0
Arika;3.0;3.0;3.0;3.0
ASC Games;3.0;3.0;3.0;3.0
Slitherine Software;4.0;4.0;4.0;4.0
RTL;8.0;8.0;8.0;8.0
Ghostlight;15.0;15.0;15.0;15.0
Media Entertainment;1.0;1.0;1.0;1.0
mixi, Inc;1.0;1.0;1.0;1.0
Accolade;3.0;3.0;3.0;3.0
Game Arts;1.0;1.0;1.0;1.0
Destineer;45.0;45.0;45.0;45.0
Avanquest;26.0;26.0;26.0;26.0
Rocket Company;17.0;17.0;17.0;17.0
Unknown;203.0;203.0;203.0;203.0
ASK;1.0;1.0;1.0;1.0
Aques;1.0;1.0;1.0;1.0
Hello Games;1.0;1.0;1.0;1.0
Media Rings;3.0;3.0;3.0;3.0
Global A Entertainment;4.0;4.0;4.0;4.0
Views;2.0;2.0;2.0;2.0
Strategy First;1.0;1.0;1.0;1.0
Mastiff;16.0;16.0;16.0;16.0
Ertain;1.0;1.0;1.0;1.0
Media Factory;2.0;2.0;2.0;2.0
TYO;1.0;1.0;1.0;1.0
Media Works;5.0;5.0;5.0;5.0
Atari;363.0;363.0;363.0;363.0
Arc System Works;26.0;26.0;26.0;26.0
Asgard;8.0;8.0;8.0;8.0
Nippon Columbia;7.0;7.0;7.0;7.0
Aerosoft;2.0;2.0;2.0;2.0
Funsta;4.0;4.0;4.0;4.0
FunSoft;1.0;1.0;1.0;1.0
Milestone;1.0;1.0;1.0;1.0
Graphsim Entertainment;1.0;1.0;1.0;1.0
Russel;6.0;6.0;6.0;6.0
Xing Entertainment;1.0;1.0;1.0;1.0
Micro Cabin;3.0;3.0;3.0;3.0
Mercury Games;4.0;4.0;4.0;4.0
Tommo;5.0;5.0;5.0;5.0
Bigben Interactive;13.0;13.0;13.0;13.0
Inti Creates;1.0;1.0;1.0;1.0
"505 Games";192.0;192.0;192.0;192.0
Experience Inc.;3.0;3.0;3.0;3.0
Tryfirst;1.0;1.0;1.0;1.0
Licensed 4U;3.0;3.0;3.0;3.0
Office Create;2.0;2.0;2.0;2.0
Kadokawa Shoten;49.0;49.0;49.0;49.0
Fuji;1.0;1.0;1.0;1.0
Electronic Arts;1351.0;1351.0;1351.0;1351.0
Gameloft;1.0;1.0;1.0;1.0
Oxygen Interactive;22.0;22.0;22.0;22.0
Saurus;1.0;1.0;1.0;1.0
Wizard Video Games;1.0;1.0;1.0;1.0
Acclaim Entertainment;184.0;184.0;184.0;184.0
AQ Interactive;5.0;5.0;5.0;5.0
inXile Entertainment;1.0;1.0;1.0;1.0
id Software;1.0;1.0;1.0;1.0
Tomy Corporation;18.0;18.0;18.0;18.0
KID;4.0;4.0;4.0;4.0
Video System;4.0;4.0;4.0;4.0
Men-A-Vision;1.0;1.0;1.0;1.0
Valcon Games;8.0;8.0;8.0;8.0
"10TACLE Studios";3.0;3.0;3.0;3.0
Kaga Create;6.0;6.0;6.0;6.0
Sega;639.0;639.0;639.0;639.0
Alawar Entertainment;2.0;2.0;2.0;2.0
Takuyo;1.0;1.0;1.0;1.0
Paradox Interactive;23.0;23.0;23.0;23.0
Axela;1.0;1.0;1.0;1.0
Angel Studios;3.0;3.0;3.0;3.0
Takara;16.0;16.0;16.0;16.0
DigiCube;1.0;1.0;1.0;1.0
Masque Publishing;1.0;1.0;1.0;1.0
Broccoli;22.0;22.0;22.0;22.0
Altron;1.0;1.0;1.0;1.0
Epic Games;1.0;1.0;1.0;1.0
Mystique;1.0;1.0;1.0;1.0
